state,school_type,count
FC,FOREIGN PUBLIC,305
CA,PROPRIETARY,144
NY,PRIVATE,123
CA,PRIVATE,119
PA,PRIVATE,119
CA,PUBLIC,98
TX,PUBLIC,91
FL,PROPRIETARY,80
FC,FOREIGN PRIVATE,71
IL,PRIVATE,69
OH,PRIVATE,69
TX,PROPRIETARY,66
PA,PROPRIETARY,65
MA,PRIVATE,64
PA,PUBLIC,55
MO,PRIVATE,53
TX,PRIVATE,53
NY,PUBLIC,49
AZ,PROPRIETARY,42
FL,PRIVATE,42
OH,PUBLIC,41
TN,PRIVATE,41
NC,PRIVATE,40
NY,PROPRIETARY,40
OH,PROPRIETARY,40
IL,PROPRIETARY,39
MO,PUBLIC,36
NC,PUBLIC,36
VA,PRIVATE,35
IL,PUBLIC,33
FL,PUBLIC,32
GA,PUBLIC,30
IN,PRIVATE,30
GA,PRIVATE,28
MN,PUBLIC,28
OK,PUBLIC,28
WA,PUBLIC,28
MI,PRIVATE,27
SC,PUBLIC,27
WI,PUBLIC,27
IA,PRIVATE,26
UT,PROPRIETARY,26
WI,PRIVATE,25
AR,PUBLIC,24
CO,PROPRIETARY,24
KY,PRIVATE,24
MI,PROPRIETARY,24
TN,PROPRIETARY,24
MN,PRIVATE,23
KY,PUBLIC,22
MO,PROPRIETARY,22
VA,PUBLIC,22
VA,PROPRIETARY,22
KS,PUBLIC,21
KS,PRIVATE,21
SC,PRIVATE,21
LA,PUBLIC,20
LA,PROPRIETARY,20
MI,PUBLIC,20
NJ,PROPRIETARY,20
WA,PROPRIETARY,20
CT,PRIVATE,19
NJ,PUBLIC,19
MA,PROPRIETARY,18
MD,PUBLIC,18
MN,PROPRIETARY,18
PR,PRIVATE,18
AL,PRIVATE,17
GA,PROPRIETARY,17
IN,PUBLIC,17
IN,PROPRIETARY,17
NJ,PRIVATE,17
OR,PROPRIETARY,17
WA,PRIVATE,17
AL,PUBLIC,16
AZ,PUBLIC,16
MD,PRIVATE,16
MS,PUBLIC,16
NC,PROPRIETARY,16
OR,PRIVATE,16
TN,PUBLIC,16
VT,PRIVATE,16
NE,PRIVATE,15
NM,PUBLIC,15
OK,PROPRIETARY,15
ME,PRIVATE,14
OK,PRIVATE,14
CT,PUBLIC,13
AR,PRIVATE,12
CO,PUBLIC,12
CT,PROPRIETARY,12
KY,PROPRIETARY,12
MA,PUBLIC,12
MD,PROPRIETARY,12
ME,PUBLIC,12
NH,PRIVATE,12
CO,PRIVATE,11
MT,PUBLIC,11
ND,PUBLIC,11
OR,PUBLIC,11
WV,PRIVATE,11
WV,PROPRIETARY,11
DC,PRIVATE,10
HI,PUBLIC,10
IA,PUBLIC,10
NE,PUBLIC,10
SD,PUBLIC,10
LA,PRIVATE,9
MS,PRIVATE,9
NE,PROPRIETARY,9
SD,PRIVATE,9
UT,PUBLIC,9
ND,PROPRIETARY,8
NH,PUBLIC,8
RI,PRIVATE,8
SC,PROPRIETARY,8
WY,PUBLIC,8
IA,PROPRIETARY,7
ID,PROPRIETARY,7
NH,PROPRIETARY,7
NM,PROPRIETARY,7
NV,PUBLIC,7
VT,PUBLIC,7
WI,PROPRIETARY,7
WV,PUBLIC,7
AL,PROPRIETARY,5
AZ,PRIVATE,5
DE,PRIVATE,5
HI,PRIVATE,5
ID,PRIVATE,5
ID,PUBLIC,5
PR,PROPRIETARY,5
AK,PUBLIC,4
AR,PROPRIETARY,4
DC,PROPRIETARY,4
FC,FOREIGN FOR-PROFIT,4
KS,PROPRIETARY,4
ME,PROPRIETARY,4
ND,PRIVATE,4
NV,PROPRIETARY,4
RI,PROPRIETARY,4
UT,PRIVATE,4
HI,PROPRIETARY,3
MT,PRIVATE,3
MT,PROPRIETARY,3
NM,PRIVATE,3
NV,PRIVATE,3
SD,PROPRIETARY,3
AK,PROPRIETARY,2
DE,PUBLIC,2
PR,PUBLIC,2
RI,PUBLIC,2
VT,PROPRIETARY,2
AK,PRIVATE,1
DC,PUBLIC,1
FC,PUBLIC,1
GU,PUBLIC,1
MS,PROPRIETARY,1
NR,OTHER,1
WY,PROPRIETARY,1
