"Supplier","Price","SKU","Category","Product","Model","SKU Status","Quantities recommended",
"Boomerce"," 9,999","9999A1-000000","Warranty","2-years-extended-warranty-plan","2-years-extended-warranty-plan","Free market","374",
"Boomerce"," 520","010109-060101","iPhone","iphone-1164 GBGoodBlack","iphone-11","Free market","307",
"Boomerce"," 565","010113-060101","iPhone","iphone-1264 GBGoodBlack","iphone-12","Free market","274",
"Boomerce"," 855","010118-071401","iPhone","iphone-13128 GBGoodMidnight","iphone-13","Free market","224",
"Boomerce"," 9,999","9999A3-000000","Warranty","2-years-extended-warranty-plan-2","2-years-extended-warranty-plan-2","Free market","177",
"Boomerce"," 9,999","9999A4-000000","Warranty","2-years-extended-warranty-plan-3","2-years-extended-warranty-plan-3","Free market","156",
"Boomerce"," 847","010114-071201","iPhone","iphone-12-pro128 GBGoodGraphite","iphone-12-pro","Free market","120",
"Boomerce"," 880","010118-071403","iPhone","iphone-13128 GBExcellentMidnight","iphone-13","Free market","111",
"Boomerce"," 1,065","010122-071101","iPhone","iphone-14128 GBGoodBlue","iphone-14","Free market","99",
"Boomerce"," 9,999","9999A2-000000","Warranty","2-years-extended-warranty-plan-1","2-years-extended-warranty-plan-1","Free market","83",
"Boomerce"," 183","020303-028351","Laptop","acer-chromebook-r11-convertible-2-in-1-touch-celeron-6th-gen-11.64 GBEnglish16 GB SSD","acer-chromebook-r11-convertible-2-in-1-touch","Free market","76",
"Boomerce"," 413","010205-073103","Samsung phone","galaxy-s20-fe128 GBExcellentCloud Navy","galaxy-s20-fe","Free market","61",
"Boomerce"," 9,999","010113-060103","iPhone","iphone-1264 GBExcellentBlack","iphone-12","Free market","60",
"Boomerce"," 705","010121-071101","iPhone","iphone-13-mini128 GBGoodBlue","iphone-13-mini","Free market","57",
"Boomerce"," 572","010211-074203","Samsung phone","galaxy-s21128 GBExcellentPhantom Gray","galaxy-s21","Free market","56",
"Boomerce"," 485","020553-038651","Laptop","hp-elitebook-640-g4-core-i5-8th-gen-148 GBEnglish256 GB SSD","hp-elitebook-640-g4","Free market","53",
"Boomerce"," 430","010106-060101","iPhone","iphone-xr64 GBGoodBlack","iphone-xr","Free market","51",
"Boomerce"," 754","010111-060601","iPhone","iphone-11-pro-max64 GBGoodSpace Grey","iphone-11-pro-max","Free market","47",
"Boomerce"," 9,999","010109-060103","iPhone","iphone-1164 GBExcellentBlack","iphone-11","Free market","45",
"Boomerce"," 715","010209-083903","Samsung phone","galaxy-s21-plus256 GBExcellentPhantom Black","galaxy-s21-plus","Free market","45",
"Boomerce"," 460","010116-060101","iPhone","iphone-12-mini64 GBGoodBlack","iphone-12-mini","Free market","43",
"Boomerce"," 153","010101-050101","iPhone","iphone-732 GBGoodBlack","iphone-7","Free market","40",
"Boomerce"," 1,216","010120-071201","iPhone","iphone-13-pro-max128 GBGoodGraphite","iphone-13-pro-max","Free market","40",
"Boomerce"," 536","020497-038651","Laptop","dell-latitude-5310-intel-core-i5-10th-gen-13.38 GBEnglish256 GB SSD","dell-latitude-5310","Free market","40",
"Boomerce"," 704","010121-071103","iPhone","iphone-13-mini128 GBExcellentBlue","iphone-13-mini","Free market","39",
"Boomerce"," 2,080","010128-08C103","iPhone","iphone-15-pro-max256 GBExcellentNatural Titanium","iphone-15-pro-max","Free market","39",
"Boomerce"," 870","010118-071503","iPhone","iphone-13128 GBExcellentPink","iphone-13","Free market","38",
"Boomerce"," 9,999","020442-038651","Laptop","dell-latitude-5480-core-i5-6th-gen-148 GBEnglish256 GB SSD","dell-latitude-5480","Free market","36",
"Boomerce"," 754","010240-073903","Samsung phone","galaxy-s22128 GBExcellentPhantom Black","galaxy-s22","Free market","36",
"Boomerce"," 633","010110-060601","iPhone","iphone-11-pro64 GBGoodSpace Grey","iphone-11-pro","Free market","35",
"Boomerce"," 1,215","010125-071401","iPhone","iphone-14-plus128 GBGoodMidnight","iphone-14-plus","Free market","35",
"Boomerce"," 1,980","010128-08C203","iPhone","iphone-15-pro-max256 GBExcellentBlue Titanium","iphone-15-pro-max","Free market","35",
"Boomerce"," 2,075","010128-08C303","iPhone","iphone-15-pro-max256 GBExcellentWhite Titanium","iphone-15-pro-max","Free market","33",
"Boomerce"," 1,068","010122-071103","iPhone","iphone-14128 GBExcellentBlue","iphone-14","Free market","33",
"Boomerce"," 9,999","020492-038651","Laptop","dell-latitude-5310-core-i5-10th-gen-13.38 GBEnglish256 GB SSD","dell-latitude-5310","Free market","33",
"Boomerce"," 855","010118-071402","iPhone","iphone-13128 GBVery GoodMidnight","iphone-13","Free market","33",
"Boomerce"," 990","010115-071201","iPhone","iphone-12-pro-max128 GBGoodGraphite","iphone-12-pro-max","Free market","32",
"Boomerce"," 1,923","010127-08C103","iPhone","iphone-15-pro256 GBExcellentNatural Titanium","iphone-15-pro","Free market","28",
"Boomerce"," 2,004","010128-08C301","iPhone","iphone-15-pro-max256 GBGoodWhite Titanium","iphone-15-pro-max","Free market","28",
"Boomerce"," 1,370","010238-070203","Samsung phone","galaxy-s22-ultra128 GBExcellentWhite","galaxy-s22-ultra","Free market","28",
"Boomerce"," 643","010113-070103","iPhone","iphone-12128 GBExcellentBlack","iphone-12","Free market","28",
"Boomerce"," 480","020427-038651","Laptop","dell-latitude-7400-core-i5-8th-gen-148 GBEnglish256 GB SSD","dell-latitude-7400","Free market","27",
"Boomerce"," 9,999","010109-060102","iPhone","iphone-1164 GBVery GoodBlack","iphone-11","Free market","26",
"Boomerce"," 833","010118-071402-TDRA","iPhone","iphone-13128 GBVery GoodMidnight TDRA","iphone-13","Free market","25",
"Boomerce"," 833","010118-071902-TDRA","iPhone","iphone-13128 GBVery GoodGreen TDRA","iphone-13","Free market","25",
"Boomerce"," 833","010118-071102-TDRA","iPhone","iphone-13128 GBVery GoodBlue TDRA","iphone-13","Free market","25",
"Boomerce"," 833","010118-071602-TDRA","iPhone","iphone-13128 GBVery GoodStarlight TDRA","iphone-13","Free market","25",
"Boomerce"," 1,681","010120-090502-TDRA","iPhone","iphone-13-pro-max512 GBVery GoodSilver TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 220","0601197-190201","Audio","airpods-3rd-genAirpods + Lightning Charging CaseGoodWhite","airpods-3rd-gen","Free market","25",
"Boomerce"," 643","010113-070101","iPhone","iphone-12128 GBGoodBlack","iphone-12","Free market","25",
"Boomerce"," 803","010114-071203","iPhone","iphone-12-pro128 GBExcellentGraphite","iphone-12-pro","Free market","25",
"Boomerce"," 983","010118-081602-TDRA","iPhone","iphone-13256 GBVery GoodStarlight TDRA","iphone-13","Free market","25",
"Boomerce"," 794","010118-071103","iPhone","iphone-13128 GBExcellentBlue","iphone-13","Free market","25",
"Boomerce"," 983","010118-081402-TDRA","iPhone","iphone-13256 GBVery GoodMidnight TDRA","iphone-13","Free market","25",
"Boomerce"," 1,681","010120-090302-TDRA","iPhone","iphone-13-pro-max512 GBVery GoodGold TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 983","010118-081102-TDRA","iPhone","iphone-13256 GBVery GoodBlue TDRA","iphone-13","Free market","25",
"Boomerce"," 1,166","010119-070302-TDRA","iPhone","iphone-13-pro128 GBVery GoodGold TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 983","010118-081902-TDRA","iPhone","iphone-13256 GBVery GoodGreen TDRA","iphone-13","Free market","25",
"Boomerce"," 1,247","010120-070302-TDRA","iPhone","iphone-13-pro-max128 GBVery GoodGold TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,247","010120-071802-TDRA","iPhone","iphone-13-pro-max128 GBVery GoodSierra Blue TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,247","010120-071202-TDRA","iPhone","iphone-13-pro-max128 GBVery GoodGraphite TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,247","010120-071702-TDRA","iPhone","iphone-13-pro-max128 GBVery GoodAlpine Green TDRA","iphone-13-pro-max","Free market","25",
"Boomerce"," 1,399","010119-090302-TDRA","iPhone","iphone-13-pro512 GBVery GoodGold TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,399","010119-090502-TDRA","iPhone","iphone-13-pro512 GBVery GoodSilver TDRA","iphone-13-pro","Free market","25",
"Boomerce"," 1,166","010119-071702-TDRA","iPhone","iphone-13-pro128 GBVery GoodAlpine Green TDRA","iphone-13-pro","Free market","25",
